
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      2,776 K
Registry                       100 Services                   0     31,808 K
smss.exe                       388 Services                   0        236 K
csrss.exe                      576 Services                   0      2,956 K
wininit.exe                    696 Services                   0      1,620 K
services.exe                   748 Services                   0      8,808 K
lsass.exe                      756 Services                   0     16,580 K
svchost.exe                    968 Services                   0     54,164 K
fontdrvhost.exe                996 Services                   0        404 K
svchost.exe                    516 Services                   0     27,188 K
svchost.exe                    608 Services                   0      4,576 K
svchost.exe                   1156 Services                   0      5,224 K
svchost.exe                   1220 Services                   0      6,656 K
svchost.exe                   1224 Services                   0      4,408 K
svchost.exe                   1236 Services                   0      2,236 K
svchost.exe                   1244 Services                   0      6,180 K
svchost.exe                   1332 Services                   0      3,820 K
svchost.exe                   1472 Services                   0     11,408 K
svchost.exe                   1512 Services                   0      3,864 K
svchost.exe                   1536 Services                   0     12,692 K
svchost.exe                   1656 Services                   0      7,088 K
WUDFHost.exe                  1712 Services                   0      2,528 K
svchost.exe                   1736 Services                   0      9,408 K
svchost.exe                   1768 Services                   0      3,316 K
svchost.exe                   1792 Services                   0      4,376 K
svchost.exe                   1972 Services                   0      2,264 K
svchost.exe                   1980 Services                   0      6,004 K
svchost.exe                   1988 Services                   0      3,916 K
svchost.exe                    888 Services                   0      7,824 K
svchost.exe                   2096 Services                   0      5,276 K
igfxCUIService.exe            2128 Services                   0      3,496 K
Memory Compression            2136 Services                   0     59,716 K
svchost.exe                   2252 Services                   0      8,092 K
svchost.exe                   2260 Services                   0      2,628 K
svchost.exe                   2316 Services                   0      8,932 K
svchost.exe                   2388 Services                   0      3,616 K
svchost.exe                   2396 Services                   0      4,148 K
svchost.exe                   2488 Services                   0      5,304 K
svchost.exe                   2596 Services                   0      8,844 K
svchost.exe                   2620 Services                   0     14,204 K
svchost.exe                   2712 Services                   0      4,536 K
dasHost.exe                   2720 Services                   0     10,864 K
svchost.exe                   2816 Services                   0      4,584 K
svchost.exe                   2824 Services                   0      5,720 K
svchost.exe                   2832 Services                   0      5,276 K
svchost.exe                   2936 Services                   0      9,656 K
svchost.exe                   3092 Services                   0      2,320 K
svchost.exe                   3180 Services                   0      4,652 K
svchost.exe                   3268 Services                   0      2,448 K
svchost.exe                   3364 Services                   0     13,260 K
svchost.exe                   3384 Services                   0      3,096 K
svchost.exe                   3500 Services                   0     11,648 K
svchost.exe                   3552 Services                   0      6,984 K
svchost.exe                   3568 Services                   0      4,484 K
svchost.exe                   3600 Services                   0      6,152 K
spoolsv.exe                   3640 Services                   0      6,208 K
svchost.exe                   3832 Services                   0      3,480 K
svchost.exe                   3884 Services                   0     10,912 K
svchost.exe                   3908 Services                   0     37,312 K
svchost.exe                   3916 Services                   0     37,756 K
svchost.exe                   3932 Services                   0      2,120 K
svchost.exe                   3960 Services                   0      1,532 K
svchost.exe                   4008 Services                   0     15,408 K
BtwRSupportService.exe        4044 Services                   0      2,268 K
SynTPEnhService.exe           4088 Services                   0      2,252 K
wslservice.exe                4144 Services                   0      8,528 K
svchost.exe                   4188 Services                   0      1,940 K
svchost.exe                   4272 Services                   0      4,612 K
svchost.exe                   4368 Services                   0      5,872 K
dllhost.exe                   5532 Services                   0      5,416 K
svchost.exe                   5952 Services                   0      4,764 K
svchost.exe                   5852 Services                   0     14,048 K
svchost.exe                   6464 Services                   0     16,880 K
svchost.exe                   6672 Services                   0      2,924 K
svchost.exe                   1132 Services                   0      7,000 K
svchost.exe                   7184 Services                   0      7,208 K
svchost.exe                   7208 Services                   0     14,432 K
svchost.exe                   7740 Services                   0      9,356 K
SecurityHealthService.exe     9400 Services                   0     22,276 K
svchost.exe                   2636 Services                   0      6,664 K
svchost.exe                   9688 Services                   0      6,036 K
SgrmBroker.exe               10520 Services                   0      6,996 K
svchost.exe                  10536 Services                   0      2,860 K
svchost.exe                  12008 Services                   0      7,352 K
svchost.exe                   5460 Services                   0      3,360 K
svchost.exe                  14120 Services                   0      3,004 K
MoUsoCoreWorker.exe          15856 Services                   0     33,248 K
